name,ing_cal,ing_protein,ing_fat,ing_carbon,ing_vit_b1,ing_vit_b2,ing_vit_c,ing_salt
＜魚類＞　しまあじ　養殖　生,153,21.9,8,0.1,0.25,0.15,Tr,0.1
＜魚類＞　しらうお　生,70,13.6,2,0.1,0.08,0.1,4,0.4
＜魚類＞　シルバー　生,138,18.6,7.9,Tr,0.08,0.18,0,0.2
＜魚類＞　すずき　生,113,19.8,4.2,Tr,0.02,0.2,3,0.2
＜魚類＞　（たい類）　きだい　生,100,18.6,3.1,0.2,0.03,0.04,1,0.2
＜魚類＞　（たい類）　くろだい　生,137,20.4,6.7,0.3,0.12,0.3,3,0.1
＜魚類＞　（たい類）　ちだい　生,97,19.4,2.4,0.1,0.03,0.1,2,0.2
＜魚類＞　（たい類）　まだい　天然　生,129,20.6,5.8,0.1,0.09,0.05,1,0.1
＜魚類＞　（たい類）　まだい　養殖　皮つき　生,160,20.9,9.4,0.1,0.32,0.08,3,0.1
＜魚類＞　（たい類）　まだい　養殖　皮つき　水煮,182,22.2,11.9,0.1,0.16,0.07,2,0.1
＜魚類＞　（たい類）　まだい　養殖　皮つき　焼き,186,22.7,12,0.1,0.14,0.09,3,0.1
＜魚類＞　（たい類）　まだい　養殖　皮なし　生,131,21.2,5.9,0.2,0.31,0.08,3,0.1
＜魚類＞　たかさご　生,93,20.2,1.5,0.1,0.03,0.07,Tr,0.1
＜魚類＞　たかべ　生,148,18.7,9,Tr,0.06,0.18,1,0.3
＜魚類＞　たちうお　生,238,16.5,20.9,Tr,0.01,0.07,1,0.2
＜魚類＞　（たら類）　すけとうだら　生,72,17.4,1,0.1,0.05,0.11,1,0.3
＜魚類＞　（たら類）　すけとうだら　フライ,195,19.2,11.9,5.7,0.05,0.13,Tr,0.4
＜魚類＞　（たら類）　すけとうだら　すり身,98,17.5,0.2,6.6,0.03,0.05,0,0.3
＜魚類＞　（たら類）　すけとうだら　すきみだら,165,40.5,0.3,0.1,0.13,0.18,0,18.8
＜魚類＞　（たら類）　すけとうだら　たらこ　生,131,24,4.7,0.4,0.71,0.43,33,4.6
＜魚類＞　（たら類）　すけとうだら　たらこ　焼き,158,28.3,6.1,0.5,0.77,0.53,21,5.3
＜魚類＞　（たら類）　すけとうだら　からしめんたいこ,121,21,3.3,3,0.34,0.33,76,5.6
＜魚類＞　（たら類）　まだら　生,72,17.6,0.2,0.1,0.1,0.1,Tr,0.3
＜魚類＞　（たら類）　まだら　焼き,103,25.2,0.2,0.2,0.09,0.12,Tr,0.4
＜魚類＞　（たら類）　まだら　しらこ　生,60,13.4,0.8,0.2,0.24,0.13,2,0.3
＜魚類＞　（たら類）　まだら　塩だら,61,15.2,0.1,Tr,0.13,0.2,Tr,2
＜魚類＞　（たら類）　まだら　干しだら,299,73.2,0.8,0.1,0.2,0.3,0,3.8
＜魚類＞　（たら類）　加工品　でんぶ,276,25.5,1.1,41.5,0.04,0.08,0,4.2
＜魚類＞　（たら類）　加工品　桜でんぶ,351,10.6,0.5,80.2,0.01,0.01,-,2.4
＜魚類＞　ちか　生,82,19.5,0.6,Tr,0,0.14,Tr,0.6
＜魚類＞　どじょう　生,72,16.1,1.2,Tr,0.09,1.09,1,0.2
＜魚類＞　どじょう　水煮,76,17.1,1.2,Tr,0.08,1,Tr,0.3
＜魚類＞　とびうお　生,89,21,0.7,0.1,0.01,0.1,1,0.2
＜魚類＞　とびうお　煮干し,325,80,2.2,0.1,0,0.32,0,1.5
＜魚類＞　とびうお　焼き干し,309,73.4,3.3,0.1,Tr,0.32,0,1.8
＜魚類＞　ナイルティラピア　生,124,19.8,5.3,0.2,0.04,0.2,1,0.2
＜魚類＞　なまず　生,145,18.4,8.6,Tr,0.33,0.1,0,0.1
＜魚類＞　にぎす　生,84,18.7,1.2,0.1,0.12,0.26,1,0.5
＜魚類＞　にしん　生,196,17.4,15.1,0.1,0.01,0.23,Tr,0.3
＜魚類＞　にしん　身欠きにしん,224,20.9,16.7,0.2,0.01,0.03,0,0.4
＜魚類＞　にしん　開き干し,239,18.5,19.7,0.2,0.01,0.03,0,0.9
＜魚類＞　にしん　くん製,280,23.1,22.1,Tr,0.01,0.35,0,9.9
＜魚類＞　にしん　かずのこ　生,139,25.2,6.7,0.2,0.15,0.22,Tr,0.8
＜魚類＞　にしん　かずのこ　乾,358,65.2,13.6,0.5,Tr,0.07,0,3.6
＜魚類＞　にしん　かずのこ　塩蔵　水戻し,80,15,3,0.6,Tr,0.01,0,1.2
＜魚類＞　はぜ　生,78,19.1,0.2,0.1,0.04,0.04,1,0.2
＜魚類＞　はぜ　つくだ煮,277,24.3,3,39.9,0.11,0.41,0,5.6
＜魚類＞　はぜ　甘露煮,260,21.1,2.2,40.3,0.05,0.11,0,3.8
＜魚類＞　はたはた　生,101,14.1,5.7,Tr,0.02,0.14,0,0.5
＜魚類＞　はたはた　生干し,154,16.7,10.3,Tr,0.05,0.05,3,1.3
＜魚類＞　はまふえふき　生,85,20.5,0.3,0.1,0.15,0.07,Tr,0.2
＜魚類＞　はも　生,132,22.3,5.3,Tr,0.04,0.18,1,0.2
＜魚類＞　ひらまさ　生,128,22.6,4.9,0.1,0.2,0.14,3,0.1
＜魚類＞　ひらめ　天然　生,96,20,2,Tr,0.04,0.11,3,0.1
＜魚類＞　ひらめ　養殖　皮つき　生,115,21.6,3.7,Tr,0.12,0.34,5,0.1
＜魚類＞　ひらめ　養殖　皮なし　生,100,21.2,2.5,0.1,0.22,0.07,10,0.1
＜魚類＞　（ふぐ類）　とらふぐ　養殖　生,80,19.3,0.3,0.2,0.06,0.21,Tr,0.3
＜魚類＞　（ふぐ類）　まふぐ　生,78,18.9,0.4,Tr,0.04,0.17,0,0.2
＜魚類＞　ふな　生,93,18.2,2.5,0.1,0.55,0.14,1,0.1
＜魚類＞　ふな　水煮,104,20.3,2.8,0.1,0.49,0.12,Tr,0.1
＜魚類＞　ふな　甘露煮,266,15.5,3.6,44.4,0.16,0.16,0,3.3
＜魚類＞　ふな　ふなずし,181,21.3,7.9,9.2,Tr,0.07,0,3.9
＜魚類＞　ぶり　成魚　生,222,21.4,17.6,0.3,0.23,0.36,2,0.1
＜魚類＞　ぶり　成魚　焼き,260,26.2,20.4,0.3,0.24,0.39,2,0.1
＜魚類＞　ぶり　はまち　養殖　皮つき　生,217,20.7,17.2,0.3,0.16,0.21,2,0.1
＜魚類＞　ぶり　はまち　養殖　皮なし　生,180,21,12,0.3,0.17,0.23,3,0.1
＜魚類＞　ほうぼう　生,110,19.6,4.2,Tr,0.09,0.15,3,0.3
＜魚類＞　ホキ　生,78,17,1.3,Tr,0.03,0.16,0,0.4
＜魚類＞　ほっけ　生,103,17.3,4.4,0.1,0.09,0.17,1,0.2
＜魚類＞　ほっけ　塩ほっけ,113,18.1,4.9,0.1,0.1,0.27,Tr,3.6
＜魚類＞　ほっけ　開き干し　生,161,20.6,9.4,0.1,0.1,0.24,4,1.8
＜魚類＞　ほっけ　開き干し　焼き,179,23.1,10.9,0.2,0.14,0.26,2,2
＜魚類＞　ぼら　生,119,19.2,5,0.1,0.16,0.26,1,0.2
＜魚類＞　ぼら　からすみ,353,40.4,28.9,0.3,0.01,0.93,10,3.6
＜魚類＞　ほんもろこ　生,103,17.5,4.1,0.1,0.03,0.2,2,0.2
＜魚類＞　（まぐろ類）　きはだ　生,102,24.3,1,Tr,0.15,0.09,0,0.1
＜魚類＞　（まぐろ類）　くろまぐろ　天然　赤身　生,115,26.4,1.4,0.1,0.1,0.05,2,0.1
＜魚類＞　（まぐろ類）　くろまぐろ　天然　脂身　生,308,20.1,27.5,0.1,0.04,0.07,4,0.2
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　生,153,24.8,7.6,0.3,0.16,0.05,2,0.1
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　水煮,173,27.2,8.3,0.3,0.16,0.04,2,0.1
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　蒸し,187,28,9.9,0.2,0.17,0.04,2,0.1
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　電子レンジ調理,191,30.4,8.7,0.3,0.19,0.05,2,0.1
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　焼き,202,29,10.6,0.3,0.19,0.04,2,0.1
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　ソテー,194,28,10.2,0.3,0.18,0.05,2,0.1
＜魚類＞　（まぐろ類）　くろまぐろ　養殖　赤身　天ぷら,222,25.1,12.6,3.2,0.17,0.06,1,0.1
＜魚類＞　（まぐろ類）　びんなが　生,111,26,0.7,0.2,0.13,0.1,1,0.1
＜魚類＞　（まぐろ類）　みなみまぐろ　赤身　生,88,21.6,0.4,0.1,0.03,0.05,Tr,0.1
＜魚類＞　（まぐろ類）　みなみまぐろ　脂身　生,322,20.3,28.3,0.1,0.1,0.06,5,0.1
＜魚類＞　（まぐろ類）　めじまぐろ　生,139,25.2,4.8,0.1,0.19,0.19,1,0.1
＜魚類＞　（まぐろ類） めばち　赤身　生,115,25.4,2.3,0.3,0.09,0.05,1,0.1
＜魚類＞　（まぐろ類） めばち　脂身　生,158,23.9,7.5,0.4,0.07,0.05,1,0.3
＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ライト,70,16,0.7,0.2,0.01,0.04,0,0.5
＜魚類＞　（まぐろ類）　缶詰　水煮　フレーク　ホワイト,96,18.3,2.5,0.4,0.07,0.03,0,0.7
＜魚類＞　（まぐろ類）　缶詰　味付け　フレーク,134,19,2.3,9.9,0.07,0.03,0,1.9
＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ライト,265,17.7,21.7,0.1,0.01,0.03,0,0.9
＜魚類＞　（まぐろ類）　缶詰　油漬　フレーク　ホワイト,279,18.8,23.6,0.1,0.05,0.13,0,0.9
＜魚類＞　マジェランあいなめ　生,243,13.3,22.9,0.1,0.02,0.08,Tr,0.2
＜魚類＞　まながつお　生,161,17.1,10.9,Tr,0.22,0.13,1,0.4
＜魚類＞　みなみくろたち　生,112,21.7,3,0.1,0.06,0.2,1,0.3
＜魚類＞　みなみだら　生,68,16.4,0.3,Tr,0.03,0.27,0,0.6
＜魚類＞　むつ　生,175,16.7,12.6,Tr,0.03,0.16,Tr,0.2
＜魚類＞　むつ　水煮,161,22.2,8.4,Tr,0.04,0.16,Tr,0.2
＜魚類＞　めじな　生,113,19.4,4.5,0.1,0.05,0.38,0,0.2
＜魚類＞　めばる　生,100,18.1,3.5,Tr,0.07,0.17,2,0.2
＜魚類＞　メルルーサ　生,73,17,0.6,Tr,0.09,0.04,Tr,0.4
＜魚類＞　やつめうなぎ　生,245,15.8,21.8,0.2,0.25,0.85,2,0.1
＜魚類＞　やつめうなぎ　干しやつめ,449,50.3,31.2,0.5,0.33,1.69,0,0.3
＜魚類＞　やまめ　養殖　生,110,18.4,4.3,0.3,0.15,0.16,3,0.1
＜魚類＞　わかさぎ　生,71,14.4,1.7,0.1,0.01,0.14,1,0.5
＜魚類＞　わかさぎ　つくだ煮,308,28.7,5.5,38.2,0.24,0.32,Tr,4.8
＜魚類＞　わかさぎ　あめ煮,301,26.3,5.1,40.4,0.28,0.35,0,4.1
＜貝類＞　あかがい　生,70,13.5,0.3,3.5,0.2,0.2,2,0.8
＜貝類＞　あげまき　生,44,8.1,0.6,2,0.3,0.14,1,1.5
＜貝類＞　あさり　生,27,6,0.3,0.4,0.02,0.16,1,2.2
＜貝類＞　あさり　つくだ煮,218,20.8,2.4,30.1,0.02,0.18,0,7.4
＜貝類＞　あさり　缶詰　水煮,102,20.3,2.2,1.9,Tr,0.09,0,1
＜貝類＞　あさり　缶詰　味付け,124,16.6,1.9,11.5,Tr,0.06,0,1.6
＜貝類＞　あわび　くろあわび　生,76,14.3,0.8,3.6,0.15,0.09,1,1.1
＜貝類＞　あわび　まだかあわび　生,74,14.6,0.4,3.3,0.02,0.1,2,0.8
＜貝類＞　あわび　めがいあわび　生,74,12.2,0.3,6.8,0.16,0.09,1,0.8
＜貝類＞　あわび　干し,257,38,1.6,23.8,0.36,0.11,Tr,7.4
＜貝類＞　あわび　塩辛,93,14.8,3.9,1.4,0.2,0.7,0,6.6
＜貝類＞　あわび　水煮缶詰,85,19.4,0.4,1,0.04,0.04,0,1.4
＜貝類＞　いがい　生,63,10.3,1.6,3.2,0.01,0.37,5,1.4
＜貝類＞　いたやがい　養殖　生,55,10.8,0.8,1.5,0,0.2,Tr,1.1
＜貝類＞　エスカルゴ　水煮缶詰,75,16.5,1,0.8,0,0.09,0,0.7
＜貝類＞　かき　養殖　生,58,6.9,2.2,4.9,0.07,0.14,3,1.2
＜貝類＞　かき　養殖　水煮,90,9.9,3.6,7.1,0.07,0.15,3,0.9
＜貝類＞　かき　養殖　フライ,256,7.6,11.1,32.9,0.07,0.16,2,1
＜貝類＞　かき　くん製油漬缶詰,294,12.5,22.6,11.2,0.05,0.09,0,0.8
＜貝類＞　さざえ　生,83,19.4,0.4,0.8,0.04,0.09,1,0.6
＜貝類＞　さざえ　焼き,91,21.3,0.4,0.9,0.04,0.1,1,0.7
＜貝類＞　さるぼう　味付け缶詰,131,15.9,2.2,12.9,0.01,0.07,0,2.2
＜貝類＞　しじみ　生,54,7.5,1.4,4.5,0.02,0.44,2,0.4
＜貝類＞　しじみ　水煮,95,15.4,2.7,5.5,0.02,0.57,1,0.3
＜貝類＞　たいらがい　貝柱　生,94,21.8,0.2,1.5,0.01,0.09,2,0.7
＜貝類＞　たにし　生,73,13,1.1,3.6,0.11,0.32,Tr,0.1
＜貝類＞　つぶ　生,82,17.8,0.2,2.3,Tr,0.12,Tr,1
＜貝類＞　とこぶし　生,78,16,0.4,3,0.15,0.14,1,0.7
＜貝類＞　とりがい　斧足　生,81,12.9,0.3,6.9,0.16,0.06,1,0.3
＜貝類＞　ばい　生,81,16.3,0.6,3.1,0.03,0.14,2,0.6
＜貝類＞　ばかがい　生,56,10.9,0.5,2.4,0.14,0.06,1,0.8
＜貝類＞　（はまぐり類）　はまぐり　生,35,6.1,0.6,1.8,0.08,0.16,1,2
＜貝類＞　（はまぐり類）　はまぐり　水煮,79,14.9,1.5,2.9,0.15,0.27,1,1.2
＜貝類＞　（はまぐり類）　はまぐり　焼き,70,13.3,1,2.8,0.13,0.29,2,2
＜貝類＞　（はまぐり類）　はまぐり　つくだ煮,211,27,2.8,21.4,0.02,0.1,0,7.1
＜貝類＞　（はまぐり類）　ちょうせんはまぐり　生,41,6.5,1,2.7,0.13,0.12,1,1.3
＜貝類＞　ほたてがい　生,66,13.5,0.9,1.5,0.05,0.29,3,0.8
＜貝類＞　ほたてがい　水煮,89,17.6,1.9,1.9,0.04,0.29,2,0.6
＜貝類＞　ほたてがい　貝柱　生,82,16.9,0.3,3.5,0.01,0.06,2,0.3
＜貝類＞　ほたてがい　貝柱　焼き,123,23.8,0.3,4.6,0.01,0.08,1,0.4
＜貝類＞　ほたてがい　貝柱　煮干し,301,65.7,1.4,7.6,0.12,0.3,0,6.4
＜貝類＞　ほたてがい　貝柱　水煮缶詰,87,19.5,0.6,1.5,Tr,0.05,0,1
＜貝類＞　ほっきがい　生,66,11.1,1.1,3.8,0.01,0.16,2,0.6
＜貝類＞　みるがい　水管　生,77,18.3,0.4,0.3,Tr,0.14,1,0.8
＜えび・かに類＞　（えび類）　あまえび　生,85,19.8,1.5,0.1,0.02,0.03,Tr,0.8
＜えび・かに類＞　（えび類）　いせえび　生,86,20.9,0.4,Tr,0.01,0.03,1,0.9
＜えび・かに類＞　（えび類）　くるまえび　養殖　生,90,21.6,0.6,Tr,0.11,0.06,Tr,0.4
＜えび・かに類＞　（えび類）　くるまえび　養殖　ゆで,116,28.2,0.5,Tr,0.09,0.05,Tr,0.5
＜えび・かに類＞　（えび類）　くるまえび　養殖　焼き,97,23.5,0.4,Tr,0.11,0.05,1,0.5
＜えび・かに類＞　（えび類）　さくらえび　生,78,16.6,2,0.1,0.1,0.08,1,0.7
＜えび・かに類＞　（えび類）　さくらえび　ゆで,82,18.2,1.5,Tr,0.1,0.08,0,2.1
＜えび・かに類＞　（えび類）　さくらえび　素干し,286,64.9,4,0.1,0.17,0.15,0,3
＜えび・かに類＞　（えび類）　さくらえび　煮干し,252,59.1,2.5,0.1,0.16,0.11,0,8.6
＜えび・かに類＞　（えび類）　大正えび　生,89,21.7,0.3,0.1,0.03,0.04,1,0.5
＜えび・かに類＞　（えび類）　しばえび　生,78,18.7,0.4,0.1,0.02,0.06,2,0.6
＜えび・かに類＞　（えび類）　バナメイえび　養殖　生,82,19.6,0.6,0.7,0.03,0.04,1,0.3
＜えび・かに類＞　（えび類）　バナメイえび　養殖　天ぷら,194,20,10.3,6.5,0.04,0.06,Tr,0.3
＜えび・かに類＞　（えび類）　ブラックタイガー　養殖　生,77,18.4,0.3,0.3,0.07,0.03,Tr,0.4
＜えび・かに類＞　（えび類）　加工品　干しえび,213,48.6,2.8,0.3,0.1,0.19,0,3.8
＜えび・かに類＞　（えび類）　加工品　つくだ煮,239,25.9,2.2,30.1,0.14,0.11,0,4.8
＜えび・かに類＞　（かに類）　がざみ　生,61,14.4,0.3,0.3,0.02,0.15,Tr,0.9
＜えび・かに類＞　（かに類）　毛がに　生,67,15.8,0.5,0.2,0.07,0.23,Tr,0.6
＜えび・かに類＞　（かに類）　毛がに　ゆで,78,18.4,0.5,0.2,0.07,0.23,Tr,0.6
＜えび・かに類＞　（かに類）　ずわいがに　生,59,13.9,0.4,0.1,0.24,0.6,Tr,0.8
＜えび・かに類＞　（かに類）　ずわいがに　ゆで,65,15,0.6,0.1,0.21,0.57,Tr,0.6
＜えび・かに類＞　（かに類）　ずわいがに　水煮缶詰,69,16.3,0.4,0.2,0,0.03,0,1.7
＜えび・かに類＞　（かに類）　たらばがに　生,56,13,0.9,0.2,0.05,0.07,1,0.9
＜えび・かに類＞　（かに類）　たらばがに　ゆで,77,17.5,1.5,0.3,0.07,0.06,Tr,0.8
＜えび・かに類＞　（かに類）　たらばがに　水煮缶詰,85,20.6,0.3,0.1,0.02,0.1,0,1.5
＜えび・かに類＞　（かに類）　加工品　がん漬,58,8.4,0.4,5.4,0.1,0.5,0,19.1
＜いか・たこ類＞　（いか類）　あかいか　生,81,17.9,1.5,Tr,0.01,0.02,1,0.5
＜いか・たこ類＞　（いか類）　けんさきいか　生,77,17.5,1,0.1,0.01,0.02,2,0.5
＜いか・たこ類＞　（いか類）　こういか　生,64,14.9,1.3,0.1,0.03,0.05,1,0.7
＜いか・たこ類＞　（いか類）　するめいか　生,76,17.9,0.8,0.1,0.07,0.05,1,0.5
＜いか・たこ類＞　（いか類）　するめいか　水煮,98,21.9,0.9,0.1,0.05,0.06,1,0.6
＜いか・たこ類＞　（いか類）　するめいか　焼き,108,23.6,1,0.1,0.09,0.07,1,0.8
＜いか・たこ類＞　（いか類）　するめいか　胴　皮つき　生,78,18.6,0.7,0.1,0.06,0.04,2,0.5
＜いか・たこ類＞　（いか類）　するめいか　胴　皮なし　生,80,18.6,0.6,0.1,0.06,0.04,2,0.5
＜いか・たこ類＞　（いか類）　するめいか　胴　皮なし　天ぷら,175,16.7,10.8,6.3,0.07,0.07,1,0.4
＜いか・たこ類＞　（いか類）　するめいか　耳・足　生,75,16.9,0.9,0,0.09,0.06,1,0.6
＜いか・たこ類＞　（いか類）　ほたるいか　生,74,11.8,3.5,0.2,0.19,0.27,5,0.7
＜いか・たこ類＞　（いか類）　ほたるいか　ゆで,91,17.7,2.9,0.4,0.2,0.3,Tr,0.6
＜いか・たこ類＞　（いか類）　ほたるいか　くん製,305,43.1,7.5,21.3,0.4,0.5,0,3.8
＜いか・たこ類＞　（いか類）　ほたるいか　つくだ煮,245,27,6.7,22.9,0.09,0.21,0,3
＜いか・たこ類＞　（いか類）　やりいか　生,79,17.6,1,0.4,0.04,0.03,2,0.4
＜いか・たこ類＞　（いか類）　加工品　するめ,304,69.2,4.3,0.4,0.1,0.1,0,2.3
＜いか・たこ類＞　（いか類）　加工品　さきいか,268,45.5,3.1,17.3,0.06,0.09,0,6.9
＜いか・たこ類＞　（いか類）　加工品　くん製,202,35.2,1.5,12.8,0.1,0.15,0,6.1
＜いか・たこ類＞　（いか類）　加工品　切りいかあめ煮,310,22.7,4.7,46.1,0.06,0.1,0,2.8
＜いか・たこ類＞　（いか類）　加工品　いかあられ,289,20,1.8,49.1,0.07,0.1,0,1.8
＜いか・たこ類＞　（いか類）　加工品　塩辛,114,15.2,3.4,6.5,Tr,0.1,Tr,6.9
＜いか・たこ類＞　（いか類）　加工品　味付け缶詰,127,21.4,1.8,7.7,0.02,0.07,0,1.8
＜いか・たこ類＞　（たこ類）　いいだこ　生,64,14.6,0.8,0.1,0.01,0.08,1,0.6
＜いか・たこ類＞　（たこ類）　まだこ　生,70,16.4,0.7,0.1,0.03,0.09,Tr,0.7
＜いか・たこ類＞　（たこ類）　まだこ　ゆで,91,21.7,0.7,0.1,0.03,0.05,Tr,0.6
＜いか・たこ類＞　（たこ類）　みずだこ　生,61,13.4,0.9,0.1,0.04,0.05,1,1.1
＜その他＞　あみ　つくだ煮,230,19.1,1.8,35.1,0.13,0.21,0,6.9
＜その他＞　あみ　塩辛,62,12.9,1.1,0.8,0.07,0.07,0,19.8
＜その他＞　うに　生うに,109,16,4.8,3.3,0.1,0.44,3,0.6
＜その他＞　うに　粒うに,172,17.2,5.8,15.6,0.14,0.65,0,8.4
＜その他＞　うに　練りうに,166,13.5,2.9,22.4,Tr,0.3,0,7.1
＜その他＞　おきあみ　生,84,15,3.2,0.2,0.15,0.26,2,1.1
＜その他＞　おきあみ　ゆで,78,13.8,3,Tr,0.21,0.25,1,1.6
＜その他＞　くらげ　塩蔵　塩抜き,21,5.2,0.1,Tr,Tr,0.01,0,0.3
＜その他＞　しゃこ　ゆで,89,19.2,1.7,0.2,0.26,0.13,0,0.8
＜その他＞　なまこ　生,22,4.6,0.3,0.5,0.05,0.02,0,1.7
＜その他＞　なまこ　このわた,54,11.4,1.8,0.5,0.2,0.5,0,4.6
＜その他＞　ほや　生,27,5,0.8,0.8,0.01,0.13,3,3.3
＜その他＞　ほや　塩辛,69,11.6,1.1,3.8,0.01,0.18,0,3.6
＜水産練り製品＞　かに風味かまぼこ,89,12.1,0.5,9.2,0.01,0.04,1,2.2
＜水産練り製品＞　黒はんぺん,119,11.2,2.9,13.7,Tr,0.1,0,1.4
＜水産練り製品＞　昆布巻きかまぼこ,83,8.9,0.5,11,0.03,0.08,Tr,2.4
＜水産練り製品＞　す巻きかまぼこ,89,12,0.8,8.7,Tr,0.01,0,2.2
＜水産練り製品＞　蒸しかまぼこ,93,12,0.9,9.7,Tr,0.01,0,2.5
＜水産練り製品＞　焼き抜きかまぼこ,102,16.2,1,7.4,0.05,0.08,0,2.4
＜水産練り製品＞　焼き竹輪,119,12.2,2,13.5,0.05,0.08,0,2.1
＜水産練り製品＞　だて巻,190,14.6,7.5,17.6,0.04,0.2,0,0.9
＜水産練り製品＞　つみれ,104,12,4.3,6.5,0.02,0.2,0,1.4
＜水産練り製品＞　なると,80,7.6,0.4,11.6,Tr,0.01,0,2
＜水産練り製品＞　はんぺん,93,9.9,1,11.4,Tr,0.01,0,1.5
＜水産練り製品＞　さつま揚げ,135,12.5,3.7,13.9,0.05,0.1,0,1.9
＜水産練り製品＞　魚肉ハム,155,13.4,6.7,11.1,0.2,0.6,0,2.3
＜水産練り製品＞　魚肉ソーセージ,158,11.5,7.2,12.6,0.2,0.6,0,2.1
＜畜肉類＞　いのしし　肉　脂身つき　生,249,18.8,19.8,0.5,0.24,0.29,1,0.1
＜畜肉類＞　いのぶた　肉　脂身つき　生,275,18.1,24.1,0.3,0.62,0.16,1,0.1
＜畜肉類＞　うさぎ　肉　赤肉　生,131,20.5,6.3,Tr,0.1,0.19,1,0.1
＜畜肉類＞　うし　［和牛肉］　かた　脂身つき　生,258,17.7,22.3,0.3,0.08,0.21,1,0.1
＜畜肉類＞　うし　［和牛肉］　かた　皮下脂肪なし　生,239,18.3,19.8,0.3,0.08,0.22,1,0.1
＜畜肉類＞　うし　［和牛肉］　かた　赤肉　生,183,20.2,12.2,0.3,0.09,0.24,1,0.1
＜畜肉類＞　うし　［和牛肉］　かた　脂身　生,692,4,78,0,0.02,0.03,0,0
＜畜肉類＞　うし　［和牛肉］　かたロース　脂身つき　生,380,13.8,37.4,0.2,0.06,0.17,1,0.1
＜畜肉類＞　うし　［和牛肉］　かたロース　皮下脂肪なし　生,373,14,36.5,0.2,0.06,0.17,1,0.1
＜畜肉類＞　うし　［和牛肉］　かたロース　赤肉　生,293,16.5,26.1,0.2,0.07,0.21,1,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　生,514,9.7,56.5,0.1,0.04,0.09,1,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　ゆで,539,12.6,58.2,0.1,0.03,0.08,0,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身つき　焼き,541,14.6,56.8,0.2,0.05,0.12,1,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　皮下脂肪なし　生,502,10.3,54.4,0.1,0.04,0.09,1,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　赤肉　生,395,14,40,0.2,0.05,0.13,1,0.1
＜畜肉類＞　うし　［和牛肉］　リブロース　脂身　生,674,4.2,78,0,0.02,0.03,Tr,0.1
＜畜肉類＞　うし　［和牛肉］　サーロイン　脂身つき　生,460,11.7,47.5,0.3,0.05,0.12,1,0.1
＜畜肉類＞　うし　［和牛肉］　サーロイン　皮下脂肪なし　生,422,12.9,42.5,0.3,0.05,0.13,1,0.1
＜畜肉類＞　うし　［和牛肉］　サーロイン　赤肉　生,294,17.1,25.8,0.4,0.07,0.17,1,0.1
＜畜肉類＞　うし　［和牛肉］　ばら　脂身つき　生,472,11,50,0.1,0.04,0.11,1,0.1
＜畜肉類＞　うし　［和牛肉］　もも　脂身つき　生,235,19.2,18.7,0.5,0.09,0.2,1,0.1
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　生,212,20.2,15.5,0.6,0.09,0.21,1,0.1
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　ゆで,302,25.7,23.3,0.2,0.05,0.19,0,0.1
＜畜肉類＞　うし　［和牛肉］　もも　皮下脂肪なし　焼き,300,27.7,22.7,0.5,0.09,0.24,1,0.1
＜畜肉類＞　うし　［和牛肉］　もも　赤肉　生,176,21.3,10.7,0.6,0.1,0.22,1,0.1
＜畜肉類＞　うし　［和牛肉］　もも　脂身　生,664,4.4,75.4,0,0.02,0.02,1,0.1
＜畜肉類＞　うし　［和牛肉］　そともも　脂身つき　生,244,17.8,20,0.5,0.08,0.18,1,0.1
＜畜肉類＞　うし　［和牛肉］　そともも　皮下脂肪なし　生,219,18.7,16.6,0.5,0.08,0.19,1,0.1
＜畜肉類＞　うし　［和牛肉］　そともも　赤肉　生,159,20.7,8.7,0.6,0.09,0.22,1,0.1
＜畜肉類＞　うし　［和牛肉］　ランプ　脂身つき　生,319,15.1,29.9,0.4,0.08,0.19,1,0.1
＜畜肉類＞　うし　［和牛肉］　ランプ　皮下脂肪なし　生,293,16,26.4,0.4,0.09,0.2,1,0.1
＜畜肉類＞　うし　［和牛肉］　ランプ　赤肉　生,196,19.2,13.6,0.5,0.1,0.25,1,0.1
＜畜肉類＞　うし　［和牛肉］　ヒレ　赤肉　生,207,19.1,15,0.3,0.09,0.24,1,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　生,231,17.1,19.8,0.3,0.08,0.2,1,0.2
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　ゆで,298,20.8,23.8,0.1,0.05,0.16,0,0.1
